time,gFx,gFy,gFz,TgF
2.406000,-0.0167,-0.0239,1.1023,1.103
2.408000,-0.0167,-0.0200,1.1023,1.103
2.408000,-0.0167,-0.0220,1.1004,1.101
2.412000,-0.0304,-0.0200,1.1004,1.101
2.438000,-0.0284,-0.0181,1.0945,1.095
2.439000,-0.0284,-0.0220,1.1082,1.109
2.441000,-0.0206,-0.0161,1.1023,1.103
2.441000,-0.0245,-0.0142,1.0965,1.097
2.442000,-0.0245,-0.0161,1.1082,1.109
2.442000,-0.0245,-0.0161,1.0965,1.097
2.448000,-0.0265,-0.0142,1.1023,1.103
2.451000,-0.0206,-0.0200,1.0984,1.099
2.456000,-0.0147,-0.0181,1.0965,1.097
2.461000,-0.0049,-0.0161,1.0984,1.099
2.466000,-0.0030,-0.0239,1.1023,1.103
2.471000,-0.0049,-0.0181,1.0926,1.093
2.476000,0.0029,-0.0161,1.0984,1.099
2.482000,-0.0030,-0.0181,1.1023,1.102
2.486000,-0.0128,-0.0161,1.1023,1.103
2.490000,-0.0186,-0.0181,1.1004,1.101
2.509000,-0.0167,-0.0161,1.1004,1.101
2.510000,-0.0147,-0.0161,1.0965,1.097
2.511000,-0.0225,-0.0220,1.0945,1.095
2.512000,-0.0245,-0.0200,1.0906,1.091
2.546000,-0.0206,-0.0200,1.0926,1.093
2.548000,-0.0206,-0.0161,1.1023,1.103
2.549000,-0.0265,-0.0200,1.1043,1.105
2.550000,-0.0343,-0.0200,1.1004,1.101
2.550000,-0.0206,-0.0200,1.1004,1.101
2.551000,-0.0167,-0.0122,1.1023,1.103
2.551000,-0.0049,-0.0083,1.0965,1.097
2.552000,-0.0128,-0.0161,1.1102,1.110
2.555000,-0.0167,-0.0142,1.1082,1.108
2.559000,-0.0030,-0.0142,1.1023,1.102
2.565000,-0.0049,-0.0200,1.1043,1.104
2.569000,-0.0186,-0.0220,1.1160,1.116
2.574000,-0.0049,-0.0200,1.1062,1.106
2.579000,-0.0089,-0.0142,1.0926,1.093
2.584000,-0.0128,-0.0181,1.0945,1.095
2.589000,-0.0167,-0.0161,1.1004,1.101
2.594000,-0.0089,-0.0103,1.0906,1.091
