,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
105,105,482,0.339844,1681,1.218018,18,1080024,0.0970982857142857,0.11826745976914285,1080.024
106,106,475,0.334717,1682,1.21875,18,1090024,0.09563342857142856,0.11655324107142856,1090.024
107,107,483,0.339844,1681,1.217285,19,1100024,0.0970982857142857,0.11819628672571428,1100.024
108,108,482,0.339844,1682,1.21875,18,1110024,0.0970982857142857,0.11833853571428571,1110.024
109,109,477,0.336182,1682,1.21875,18,1120024,0.096052,0.117063375,1120.024
110,110,470,0.331055,1684,1.220215,18,1130024,0.09458714285714286,0.11541665052142858,1130.024
111,111,475,0.334717,1680,1.217285,18,1140025,0.09563342857142856,0.11641313809857141,1140.025
112,112,466,0.328125,1681,1.218018,18,1150025,0.09375,0.11418918750000001,1150.025
113,113,469,0.32959,1681,1.217285,19,1160025,0.09416857142857142,0.11462998947142855,1160.025
114,114,475,0.334717,1681,1.218018,18,1170025,0.09563342857142856,0.11648323740171428,1170.025
115,115,475,0.334717,1681,1.218018,18,1180025,0.09563342857142856,0.11648323740171428,1180.025
116,116,478,0.336914,1682,1.21875,18,1190026,0.09626114285714285,0.11731826785714285,1190.026
117,117,485,0.342041,1680,1.217285,18,1200026,0.097726,0.11896039390999999,1200.026
118,118,480,0.338379,1680,1.217285,18,1210026,0.09667971428571429,0.11768676600428571,1210.026
119,119,469,0.330322,1680,1.217285,18,1220026,0.09437771428571429,0.11488457593428571,1220.026
120,120,467,0.328125,1684,1.219482,19,1230026,0.09375,0.11432643749999999,1230.026
121,121,478,0.336914,1681,1.218018,18,1240026,0.09626114285714285,0.11724780470057143,1240.026
122,122,490,0.345703,1678,1.21582,18,1250027,0.09877228571428572,0.12008932041714285,1250.027
123,123,500,0.353027,1678,1.21582,18,1260027,0.10086485714285713,0.12263351061142855,1260.027
124,124,453,0.318604,1681,1.218018,18,1270027,0.09102971428571428,0.11087583053485714,1270.027
125,125,475,0.334717,1680,1.217285,18,1280027,0.09563342857142856,0.11641313809857141,1280.027
126,126,472,0.333252,1682,1.219482,17,1290027,0.09521485714285714,0.11611280441828571,1290.027
127,127,426,0.298828,1682,1.21875,18,1300028,0.08537942857142856,0.10405617857142856,1300.028
128,128,541,0.383057,1677,1.215088,18,1310028,0.10944485714285714,0.13298513257599998,1310.028
129,129,578,0.411621,1674,1.214355,16,1320028,0.117606,0.14281543413,1320.028
130,130,568,0.402832,1672,1.211426,18,1330028,0.11509485714285715,0.13942890240914285,1330.028
131,131,572,0.405762,1673,1.212158,18,1340028,0.11593200000000001,0.140527901256,1340.028
132,132,636,0.452637,1669,1.209229,18,1350029,0.12932485714285716,0.15638336767800004,1350.029
133,133,511,0.361084,1675,1.213623,18,1360029,0.10316685714285714,0.1252056706662857,1360.029
134,134,483,0.340576,1676,1.214355,18,1370029,0.09730742857142857,0.11816576242285715,1370.029
135,135,481,0.339111,1677,1.215088,18,1380029,0.09688885714285714,0.117728487648,1380.029
136,136,480,0.338379,1678,1.21582,18,1390029,0.09667971428571429,0.11754513022285713,1390.029
137,137,481,0.339111,1678,1.21582,18,1400029,0.09688885714285714,0.11779941029142856,1400.029
138,138,473,0.333252,1677,1.215088,18,1410030,0.09521485714285714,0.11569443033599999,1410.03
139,139,478,0.336914,1677,1.215088,18,1420030,0.09626114285714285,0.11696575955199999,1420.03
140,140,478,0.336914,1677,1.215088,18,1430030,0.09626114285714285,0.11696575955199999,1430.03
141,141,467,0.328125,1679,1.21582,19,1440030,0.09375,0.11398312499999999,1440.03
142,142,470,0.331055,1676,1.214355,18,1450030,0.09458714285714286,0.11486236986428572,1450.03
143,143,496,0.350098,1676,1.214355,18,1460031,0.100028,0.12146950194000002,1460.031
144,144,484,0.341309,1675,1.213623,18,1470031,0.09751685714285714,0.1183487007162857,1470.031
145,145,480,0.338379,1676,1.214355,18,1480031,0.09667971428571429,0.11740349444142857,1480.031
146,146,477,0.336182,1677,1.215088,18,1490031,0.096052,0.116711632576,1490.031
147,147,469,0.330322,1678,1.21582,18,1500031,0.09437771428571429,0.11474631258285714,1500.031
148,148,465,0.327393,1677,1.215088,18,1510031,0.09354085714285713,0.11366037302399998,1510.031
149,149,467,0.328857,1677,1.215088,18,1520032,0.09395914285714287,0.11416862697600001,1520.032
150,150,468,0.32959,1678,1.21582,18,1530032,0.09416857142857142,0.11449203251428569,1530.032
151,151,469,0.330322,1675,1.213623,18,1540032,0.09437771428571429,0.11453896474457143,1540.032
152,152,457,0.321533,1678,1.21582,18,1550032,0.09186657142857144,0.11169321487428571,1550.032
153,153,449,0.315674,1677,1.215088,18,1560032,0.09019257142857143,0.10959191123199999,1560.032
154,154,454,0.319336,1678,1.21582,18,1570033,0.09123885714285715,0.11093002729142858,1570.033
155,155,465,0.327393,1675,1.213623,18,1580033,0.09354085714285713,0.1135233356682857,1580.033
156,156,451,0.317139,1677,1.215088,18,1590033,0.09061114285714286,0.110100512352,1590.033
157,157,460,0.32373,1675,1.213623,18,1600033,0.09249428571428572,0.11225319251142857,1600.033
158,158,457,0.321533,1678,1.21582,18,1610033,0.09186657142857144,0.11169321487428571,1610.033
159,159,467,0.328857,1676,1.214355,18,1620034,0.09395914285714287,0.11409975492428573,1620.034
160,160,462,0.325195,1675,1.213623,18,1630034,0.09291285714285714,0.1127611804242857,1630.034
161,161,467,0.328125,1675,1.212891,19,1640034,0.09375,0.11370853125,1640.034
162,162,459,0.322998,1674,1.212891,18,1650034,0.09228514285714286,0.11193181920514285,1650.034
163,163,479,0.337646,1675,1.213623,18,1660034,0.09647028571428572,0.11707855755942856,1660.034
164,164,461,0.324463,1678,1.21582,18,1670034,0.09270371428571429,0.11271102990285714,1670.034
165,165,461,0.324463,1675,1.213623,18,1680035,0.09270371428571429,0.11250735984257143,1680.035
166,166,456,0.320801,1677,1.215088,18,1690035,0.09165742857142857,0.111371841568,1690.035
167,167,475,0.334717,1673,1.212158,18,1700035,0.09563342857142856,0.11592282551028571,1700.035
168,168,393,0.274658,1682,1.21875,18,1710035,0.07847371428571429,0.09563983928571429,1710.035
169,169,436,0.306152,1676,1.214355,18,1720035,0.087472,0.10622206056,1720.035
170,170,440,0.309082,1676,1.214355,18,1730036,0.08830914285714286,0.10723864917428573,1730.036
